label	metric	value	note
baseline.c.7	qps	NA	computed by env runner when applicable
baseline.c.7	p50_ms	NA	computed by env runner when applicable
baseline.c.7	p95_ms	NA	computed by env runner when applicable
baseline.c.7	PERF_PAGE_TEMP_delta	0	from cubrid statdump if exposed
baseline.c.7	LRU_victim_mutex_wait_delta	0	from cubrid statdump if exposed
baseline.c.7	Num_data_page_victim_candidate_delta	0	buffer victim-candidate activity exposed by cubrid statdump
baseline.c.7	data_page_ioreads_delta	0	from cubrid statdump if exposed
baseline.c.7	Num_workmem_degrades	0	placeholder until P1a instrumentation exists
baseline.c.7	rawfd_overflow_bytes	NA	P1b/P2 placeholder
baseline.c.7	rawfd_overflow_files	NA	P1b/P2 placeholder
baseline.c.7	rawfd_fd_in_use	NA	P1b/P2 placeholder
baseline.c.7	rawfd_reaper_deletions	NA	P1b/P2 placeholder
baseline.c.7	rawfd_boot_sweep_counts	NA	P1b/P2 placeholder
baseline.c.7	rawfd_read_cache_hit	NA	P4 placeholder
baseline.c.7	rawfd_read_cache_miss	NA	P4 placeholder
baseline.c.7	rawfd_decrypt_cpu	NA	P4/TDE placeholder
baseline.c.7	separate_class_a_materialize	NA	P4/P5 placeholder
baseline.c.7	separate_class_a_prime_materialize	NA	P4/P5 placeholder
baseline.c.7	separate_class_b_materialize	NA	P4/P5 placeholder
